Node	Time	Power
n01	1381962634.84	84.20
n01	1381962635.84	94.80
n01	1381962636.84	94.80
n01	1381962637.84	106.30
n01	1381962638.84	106.60
n01	1381962639.85	106.30
n01	1381962640.84	95.90
n01	1381962641.84	95.80
n01	1381962642.84	95.90
n01	1381962643.84	96.00
n01	1381962644.84	96.00
n01	1381962645.84	96.10
n01	1381962646.84	96.20
n01	1381962647.84	103.00
n01	1381962648.85	155.60
n01	1381962649.85	275.30
n01	1381962650.85	275.70
n01	1381962651.84	275.50
n01	1381962652.84	275.50
n01	1381962653.85	275.30
n01	1381962654.85	275.60
n01	1381962655.85	275.80
n01	1381962656.85	276.00
n01	1381962657.85	276.50
n01	1381962658.85	276.80
n01	1381962659.84	276.70
n01	1381962660.85	277.00
n01	1381962661.85	277.50
n01	1381962662.85	277.60
n01	1381962663.85	277.40
n01	1381962664.85	288.40
n01	1381962665.85	298.60
n01	1381962666.85	298.50
n01	1381962667.85	298.20
n01	1381962668.85	298.30
n01	1381962669.85	298.40
n01	1381962670.85	298.20
n01	1381962671.85	298.40
n01	1381962672.85	298.50
n01	1381962673.85	298.40
n01	1381962674.85	298.50
n01	1381962675.85	298.60
n01	1381962676.85	298.50
n01	1381962677.85	298.60
n01	1381962678.85	298.80
n01	1381962679.85	298.70
n01	1381962680.85	298.80
n01	1381962681.85	299.00
n01	1381962682.85	299.00
n01	1381962683.85	299.20
n01	1381962684.85	299.40
n01	1381962685.85	299.30
n01	1381962686.85	299.50
n01	1381962687.85	299.60
n01	1381962688.85	299.60
n01	1381962689.85	299.70
n01	1381962690.85	299.90
n01	1381962691.85	299.80
n01	1381962692.85	300.00
n01	1381962693.85	300.20
n01	1381962694.85	288.80
n01	1381962695.85	288.30
n01	1381962696.85	288.50
n01	1381962697.85	300.20
n01	1381962698.86	300.40
n01	1381962699.86	300.60
n01	1381962700.85	300.60
n01	1381962701.85	300.90
n01	1381962702.85	301.10
n01	1381962703.86	301.10
n01	1381962704.86	301.30
n01	1381962705.86	301.60
n01	1381962706.85	291.50
n01	1381962707.85	286.10
n01	1381962708.86	286.20
n01	1381962709.86	286.70
n01	1381962710.86	303.80
n01	1381962711.85	303.60
n01	1381962712.85	303.30
n01	1381962713.86	303.40
n01	1381962714.86	303.40
n01	1381962715.85	303.20
n01	1381962716.85	303.30
n01	1381962717.85	303.40
n01	1381962718.86	303.30
n01	1381962719.86	303.50
n01	1381962720.86	303.60
n01	1381962721.85	303.40
n01	1381962722.85	303.60
n01	1381962723.86	303.70
n01	1381962724.86	272.60
n01	1381962725.86	186.60
n01	1381962726.85	186.40
n01	1381962727.85	186.10
n01	1381962728.86	185.70
n01	1381962729.86	185.40
n01	1381962730.86	149.40
