Time	Core	P_PKG
1381962637	0	21.69
1381962638	0	21.49
1381962639	0	32.35
1381962640	0	41.03
1381962641	0	35.78
1381962642	0	21.55
1381962643	0	21.61
1381962644	0	21.49
1381962645	0	21.6
1381962646	0	21.53
1381962647	0	21.56
1381962648	0	21.51
1381962649	0	23.48
1381962650	0	30.15
1381962651	0	114.36
1381962652	0	114.08
1381962653	0	112.47
1381962654	0	114.57
1381962655	0	114.34
1381962656	0	113.02
1381962657	0	114.63
1381962658	0	114.66
1381962659	0	114.42
1381962660	0	113.4
1381962661	0	114.94
1381962662	0	114.78
1381962663	0	113.41
1381962664	0	114.98
1381962665	0	114.88
1381962666	0	113.62
1381962667	0	114.99
1381962668	0	114.72
1381962669	0	113.71
1381962670	0	114.92
1381962671	0	115.01
1381962672	0	113.79
1381962673	0	115
1381962674	0	115.08
1381962675	0	113.27
1381962676	0	114.35
1381962677	0	114.73
1381962678	0	113.21
1381962679	0	114.55
1381962680	0	114.27
1381962681	0	113.16
1381962682	0	114.59
1381962683	0	114.42
1381962684	0	113.03
1381962685	0	114.64
1381962686	0	114.44
1381962687	0	113.24
1381962688	0	114.57
1381962689	0	114.61
1381962690	0	112.98
1381962691	0	114.56
1381962692	0	114.67
1381962693	0	113.19
1381962694	0	114.62
1381962695	0	114.69
1381962696	0	113.18
1381962697	0	114.82
1381962698	0	114.6
1381962699	0	113.2
1381962700	0	114.91
1381962701	0	114.71
1381962702	0	113.4
1381962703	0	114.83
1381962704	0	114.94
1381962705	0	113.17
1381962706	0	114.84
1381962707	0	114.96
1381962708	0	113.48
1381962709	0	114.93
1381962710	0	114.99
1381962711	0	113.33
1381962712	0	115.12
1381962713	0	114.5
1381962714	0	113.4
1381962715	0	115
1381962716	0	114.95
1381962717	0	113.61
1381962718	0	115.1
1381962719	0	115.06
1381962720	0	113.34
1381962721	0	115.1
1381962722	0	115.15
1381962723	0	113.44
1381962724	0	115.26
1381962725	0	115.07
1381962726	0	101.78
1381962727	0	22.24
1381962728	0	22.49
1381962729	0	22.04
1381962730	0	21.99
1381962731	0	22.13
1381962732	0	22.07
